time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-06-21T18:20:10.499Z,66.3983,-18.8074,10,4.4,mb,,83,1.961,0.86,us,us6000ag0h,2020-08-30T00:01:00.040Z,"27 km N of Siglufjörður, Iceland",earthquake,8.4,1.8,0.071,57,reviewed,us,us
2020-06-21T02:50:47.012Z,66.073,-18.6184,10,4.2,mb,,105,1.748,0.7,us,us6000afqb,2020-08-30T00:00:58.040Z,"12 km NNW of Dalvík, Iceland",earthquake,10.7,2,0.095,31,reviewed,us,us
2020-06-20T20:11:15.177Z,66.2953,-18.5532,10,4.5,mb,,59,1.936,0.91,us,us6000afjq,2020-08-30T00:00:57.040Z,"22 km NE of Siglufjörður, Iceland",earthquake,7.7,1.9,0.052,109,reviewed,us,us
2020-06-20T19:26:21.398Z,66.2868,-18.8934,10,5.7,mww,,28,1.848,0.53,us,us6000afj6,2020-08-30T00:00:56.040Z,"15 km N of Siglufjörður, Iceland",earthquake,6.4,1.8,0.043,51,reviewed,us,us
2020-06-20T15:05:11.383Z,66.2493,-18.6779,10,5.4,mww,,56,1.869,1.19,us,us6000afgh,2020-08-30T00:00:56.040Z,"15 km NE of Siglufjörður, Iceland",earthquake,6.3,1.8,0.045,47,reviewed,us,us
2020-06-14T16:32:45.133Z,64.5015,-17.7118,7.63,4.5,mb,,107,1.577,0.75,us,us6000aevp,2020-08-22T19:15:01.040Z,"123 km WNW of Höfn, Iceland",earthquake,8.7,4.1,0.127,21,reviewed,us,us
2020-04-20T03:54:49.609Z,64.5898,-17.6556,10,5.1,mww,,74,1.587,0.83,us,us7000908u,2020-07-09T14:31:33.040Z,"123 km WNW of Höfn, Iceland",earthquake,7.6,1.9,0.069,20,reviewed,us,us
2020-03-18T10:32:07.752Z,64.05,-22.7538,10,4.2,mb,,142,0.935,0.94,us,us70008gyh,2020-06-06T20:53:46.040Z,"2 km WNW of Sandgerði, Iceland",earthquake,7.1,2,0.215,6,reviewed,us,us
2020-03-12T10:26:01.198Z,63.9708,-22.2979,10,4.6,mb,,69,0.887,0.89,us,us60008e8e,2020-05-30T22:17:03.040Z,"4 km ESE of Vogar, Iceland",earthquake,6.9,1.9,0.045,146,reviewed,us,us
2020-01-18T15:49:56.645Z,63.5326,-24.0255,10,4.5,mb,,66,1.699,0.76,us,us60007k5s,2020-04-08T19:40:04.040Z,"85 km WSW of Grindavík, Iceland",earthquake,5.8,1.9,0.102,28,reviewed,us,us
2020-01-18T14:17:38.501Z,63.5254,-24.1042,10,4.5,mb,,128,1.728,0.69,us,us60007a2d,2020-04-08T19:39:35.040Z,"89 km SW of Sandgerði, Iceland",earthquake,10.7,1.9,0.081,44,reviewed,us,us
2020-01-18T14:07:40.299Z,63.642,-23.7586,10,4.3,mb,,153,1.537,1.25,us,us60007a28,2020-04-08T19:39:35.040Z,"67 km SW of Sandgerði, Iceland",earthquake,5.5,1.9,0.105,26,reviewed,us,us
2020-01-05T04:56:33.041Z,64.6639,-17.8506,10,4.2,mb,,115,1.495,1.03,us,us600079aq,2020-03-21T17:13:26.040Z,"114 km S of Akureyri, Iceland",earthquake,6.4,2,0.264,4,reviewed,us,us
2020-01-05T04:32:53.421Z,64.6591,-17.5641,10,4.9,mww,,83,1.618,0.87,us,us70006uwl,2020-03-21T17:13:21.040Z,"116 km SSE of Akureyri, Iceland",earthquake,5.5,0.9,0.073,18,reviewed,us,us
2019-11-16T13:17:53.230Z,63.7788,-23.3999,10,4.7,mb,,86,1.328,1.08,us,us700068u5,2020-02-07T20:21:45.040Z,"44 km SW of Sandgerði, Iceland",earthquake,3.8,1.8,0.058,90,reviewed,us,us
2019-11-16T12:17:49.967Z,63.8039,-23.3081,10,4.3,mb,,119,1.282,0.59,us,us70006bqj,2020-02-07T20:21:45.040Z,"39 km SW of Sandgerði, Iceland",earthquake,3.1,1.9,0.107,25,reviewed,us,us
2019-07-24T00:55:57.845Z,66.2158,-19.6049,10,4.2,mb,,63,1.64,0.72,us,us60004uin,2019-10-11T20:12:24.040Z,"32 km WNW of Siglufjörður, Iceland",earthquake,4.8,1.9,0.11,23,reviewed,us,us
2019-06-24T13:55:59.936Z,64.5973,-17.7561,10,4.5,mb,,114,1.543,0.89,us,us60004584,2019-09-11T15:19:42.040Z,"122 km S of Akureyri, Iceland",earthquake,8.6,1.9,0.064,73,reviewed,us,us
2019-06-24T13:09:09.883Z,64.667,-17.8035,9.02,4.5,mb,,115,1.515,1.04,us,us6000457r,2019-09-11T15:19:42.040Z,"114 km S of Akureyri, Iceland",earthquake,9,5,0.053,102,reviewed,us,us
2019-02-23T21:24:01.480Z,64.6367,-17.5689,10,4.5,mb,,106,1.618,0.81,us,us2000jm6n,2019-05-11T17:40:47.040Z,"119 km SSE of Akureyri, Iceland",earthquake,8.6,1.9,0.097,31,reviewed,us,us
2018-12-30T02:56:22.070Z,64.1613,-21.0068,10,4.3,mb,,176,0.604,1.01,us,us2000iz6z,2019-03-05T17:46:39.040Z,"19 km NNE of Hveragerði, Iceland",earthquake,8.8,2,0.099,29,reviewed,us,us
2018-12-28T01:16:36.810Z,64.636,-17.7244,10,4.7,mb,,111,1.552,1.43,us,us2000iygs,2019-03-05T17:46:36.040Z,"118 km S of Akureyri, Iceland",earthquake,3.4,1.9,0.049,129,reviewed,us,us
2018-10-23T00:09:01.890Z,64.5583,-17.6514,8.61,4.5,mb,,83,1.593,0.69,us,us1000hfw6,2019-01-10T17:18:34.040Z,"122 km WNW of Höfn, Iceland",earthquake,7.9,4.6,0.046,136,reviewed,us,us
2018-09-14T10:40:15.520Z,64.5167,-17.8029,10,4.5,mb,,110,1.535,1.18,us,us2000hi7p,2018-11-21T18:19:15.040Z,"128 km WNW of Höfn, Iceland",earthquake,8.6,1.9,0.089,37,reviewed,us,us
2018-08-16T16:24:10.480Z,63.9288,-19.547,10,4.4,mb,,109,1.129,1.28,us,us1000genz,2018-10-27T16:22:08.040Z,"65 km NE of Vestmannaeyjar, Iceland",earthquake,9.1,1.9,0.093,34,reviewed,us,us
2018-06-14T15:04:52.860Z,64.7005,-17.5617,10,4.7,mb,,106,1.616,0.75,us,us1000erk1,2018-09-07T17:47:03.040Z,"112 km SSE of Akureyri, Iceland",earthquake,7.6,1.9,0.038,204,reviewed,us,us
2018-05-17T16:00:26.510Z,64.55,-17.7231,10,4.3,mb,,145,6.175,0.61,us,us1000e7bm,2018-08-15T19:46:55.040Z,"125 km WNW of Höfn, Iceland",earthquake,7.6,1.9,0.114,22,reviewed,us,us
2018-03-21T22:56:04.490Z,64.5653,-17.7455,7.1,4.3,mb,,114,1.552,0.79,us,us1000d7b5,2018-06-19T01:35:47.040Z,"125 km S of Akureyri, Iceland",earthquake,7.5,4.3,0.094,32,reviewed,us,us
2018-02-19T08:32:08.280Z,66.5772,-17.7242,10,4.2,mb,,80,2.367,0.88,us,us2000d9n2,2018-05-22T02:00:16.040Z,"62 km NNW of Norðurþing, Iceland",earthquake,9.8,2,0.132,16,reviewed,us,us
2018-02-19T06:40:17.100Z,66.4096,-17.7033,10,4.3,mb,,67,2.248,0.82,us,us2000d4l9,2018-05-22T02:00:16.040Z,"44 km NNW of Norðurþing, Iceland",earthquake,3.9,1.9,0.054,99,reviewed,us,us
